bin,mean,count
0-100,24.09718098505488,159
100-200,53.65008876850079,77
200-300,73.55461649461226,88
300-400,106.17187012566461,72
400-600,133.90500766283844,73
600-900,222.17996164957682,30
900-2000,274.4338207244873,8
