bin,mean,count
0-100,23.20460333389306,159
100-200,42.03264563424247,77
200-300,55.78180711919611,88
300-400,81.36560938093399,72
400-600,109.26799544242964,73
600-900,149.04308013916017,30
900-2000,319.27619552612305,8
