epoch,train_loss,val_loss,lr,elapsed_s
1,49.2656,1.4180,1.00e-03,58.9
2,1.2067,1.3529,1.00e-03,17.1
3,1.2041,1.3596,1.00e-03,17.0
4,1.1935,1.3516,1.00e-03,17.1
5,1.1871,1.3457,1.00e-03,17.9
6,1.1837,1.2957,1.00e-03,17.1
7,1.1515,1.2732,1.00e-03,17.1
8,1.1363,1.2412,1.00e-03,17.1
9,1.1278,1.2214,1.00e-03,17.2
10,1.1159,1.2135,1.00e-03,17.2
11,0.7631,0.6884,3.00e-04,38.5
12,0.5242,0.6064,3.00e-04,34.4
13,0.4552,0.5973,3.00e-04,34.9
14,0.4169,0.5127,3.00e-04,35.0
15,0.3817,0.5262,3.00e-04,34.7
16,0.3813,0.5210,3.00e-04,35.3
17,0.3569,0.5679,3.00e-04,35.5
18,0.3525,0.5049,3.00e-04,35.3
19,0.3326,0.5174,3.00e-04,34.8
20,0.3179,0.4572,3.00e-04,35.2
21,0.3060,0.4741,3.00e-04,35.1
22,0.3114,0.5418,3.00e-04,35.8
23,0.3078,0.4905,3.00e-04,35.5
24,0.2881,0.4805,3.00e-04,35.4
25,0.2870,0.4837,3.00e-04,35.1
26,0.3010,0.4835,1.50e-04,35.4
27,0.2313,0.3845,1.50e-04,35.4
28,0.2110,0.4323,1.50e-04,35.0
29,0.2132,0.4470,1.50e-04,35.3
30,0.1949,0.4246,1.50e-04,35.4
31,0.1972,0.3480,1.50e-04,35.4
32,0.1930,0.4357,1.50e-04,35.0
33,0.1781,0.4122,1.50e-04,35.5
34,0.1825,0.3465,1.50e-04,35.1
35,0.1792,0.3928,1.50e-04,34.8
36,0.1852,0.4081,1.50e-04,35.4
37,0.1798,0.3366,1.50e-04,35.6
38,0.1774,0.4228,1.50e-04,35.0
39,0.1790,0.4071,1.50e-04,35.6
40,0.1613,0.3674,1.50e-04,35.7
41,0.1712,0.4301,1.50e-04,35.7
42,0.1700,0.4100,1.50e-04,35.7
43,0.1614,0.3824,7.50e-05,35.5
44,0.1288,0.3492,7.50e-05,35.5
45,0.1187,0.3376,7.50e-05,35.6
46,0.1152,0.4064,7.50e-05,35.5
47,0.1143,0.3398,7.50e-05,35.7
48,0.1105,0.3822,7.50e-05,35.6
49,0.1070,0.3434,3.75e-05,35.5
50,0.0967,0.3307,3.75e-05,35.5
51,0.0919,0.3381,3.75e-05,34.9
52,0.0908,0.3244,3.75e-05,35.6
53,0.0873,0.3233,3.75e-05,34.7
54,0.0868,0.3529,3.75e-05,34.8
55,0.0866,0.3358,3.75e-05,35.2
56,0.0868,0.3372,3.75e-05,35.5
57,0.0836,0.3372,3.75e-05,35.8
58,0.0822,0.3513,3.75e-05,35.7
59,0.0822,0.3356,1.87e-05,35.6
60,0.0767,0.3384,1.87e-05,35.7
61,0.0752,0.3567,1.87e-05,35.5
62,0.0736,0.3434,1.87e-05,35.5
63,0.0728,0.3392,1.87e-05,35.7
64,0.0717,0.3406,1.87e-05,35.6
65,0.0697,0.3373,9.37e-06,35.5
66,0.0687,0.3363,9.37e-06,35.8
67,0.0677,0.3413,9.37e-06,35.7
68,0.0669,0.3451,9.37e-06,35.4
