run,mode,split_type,loss,log1p,epochs,best_val_mae,best_epoch,test_mae,test_rmse
primary,rgb,rgb,smooth_l1,True,40,48.27996748490767,40,64.4876480102539,99.23751068115234
outputs_food101_4passes,rgb,rgb,smooth_l1,True,40,62.45265305952592,27,86.72413635253906,135.24496459960938
