epoch,train_loss,val_loss,lr,elapsed_s
1,0.7090,0.5688,1.00e-03,4.1
2,0.5533,0.4828,1.00e-03,3.3
3,0.4786,0.3436,1.00e-03,3.1
4,0.4376,0.3605,1.00e-03,3.2
5,0.4049,0.3563,1.00e-03,3.2
6,0.3829,0.3015,1.00e-03,3.2
7,0.3626,0.2618,1.00e-03,3.2
8,0.3464,0.3004,1.00e-03,3.2
9,0.3627,0.2755,1.00e-03,3.1
10,0.3603,0.2625,1.00e-03,3.2
11,0.3066,0.3129,3.00e-04,3.7
12,0.2402,0.2173,3.00e-04,3.7
13,0.2090,0.2008,3.00e-04,3.7
14,0.1852,0.2358,3.00e-04,3.6
15,0.1702,0.1847,3.00e-04,3.7
16,0.1653,0.1844,3.00e-04,3.6
17,0.1526,0.1988,3.00e-04,3.7
18,0.1755,0.1490,3.00e-04,3.7
19,0.1532,0.2268,3.00e-04,3.8
20,0.1391,0.1507,3.00e-04,3.7
21,0.1432,0.1914,3.00e-04,3.7
22,0.1340,0.1933,3.00e-04,3.8
23,0.1206,0.1675,3.00e-04,3.7
24,0.1342,0.1441,3.00e-04,3.7
25,0.1238,0.1606,3.00e-04,3.8
26,0.1265,0.1718,3.00e-04,3.7
27,0.1632,0.1533,3.00e-04,3.7
28,0.1420,0.1525,3.00e-04,3.7
29,0.1231,0.1406,3.00e-04,3.7
30,0.1230,0.1469,3.00e-04,3.7
31,0.1170,0.1483,3.00e-04,3.7
32,0.1080,0.1546,3.00e-04,3.8
33,0.1211,0.1287,3.00e-04,3.7
34,0.1118,0.1571,3.00e-04,3.7
35,0.1049,0.1109,3.00e-04,3.8
36,0.1069,0.1272,3.00e-04,3.8
37,0.1245,0.1637,3.00e-04,3.8
38,0.1303,0.1203,3.00e-04,3.7
39,0.1073,0.1275,3.00e-04,3.7
40,0.0935,0.1443,3.00e-04,3.7
41,0.1028,0.1166,1.50e-04,3.7
42,0.0960,0.1328,1.50e-04,3.8
43,0.0893,0.1002,1.50e-04,3.8
44,0.1007,0.1134,1.50e-04,3.7
45,0.0792,0.1148,1.50e-04,3.6
46,0.0907,0.1201,1.50e-04,3.7
47,0.0794,0.0908,1.50e-04,3.7
48,0.0952,0.1106,1.50e-04,3.7
49,0.0917,0.1337,1.50e-04,3.6
50,0.0891,0.1138,1.50e-04,3.7
51,0.0800,0.1127,1.50e-04,3.7
52,0.0761,0.1193,1.50e-04,3.7
53,0.0800,0.1208,7.50e-05,3.7
54,0.0729,0.1205,7.50e-05,3.8
55,0.0668,0.1105,7.50e-05,3.7
56,0.0647,0.1048,7.50e-05,3.7
57,0.0681,0.1150,7.50e-05,3.7
58,0.0692,0.1062,7.50e-05,3.7
59,0.0762,0.1284,3.75e-05,3.7
60,0.0709,0.1061,3.75e-05,3.7
61,0.0772,0.1157,3.75e-05,3.6
62,0.0722,0.1029,3.75e-05,3.7
