epoch,train_loss,val_loss,lr,elapsed_s
139,1.6354,7.6945,3.02e-06,14.9
140,1.6845,7.4992,2.96e-06,15.2
141,1.7074,7.6054,2.90e-06,15.1
142,1.6874,7.4960,2.84e-06,14.9
143,1.6839,7.6936,2.78e-06,15.2
144,1.6291,7.6763,2.73e-06,15.1
145,1.6353,8.6369,2.67e-06,14.9
146,1.6243,7.6268,2.62e-06,15.0
147,1.5853,7.6837,2.57e-06,14.6
148,1.8260,8.9821,2.51e-06,14.5
149,1.5679,7.6952,2.46e-06,14.8
150,1.5812,7.7043,2.41e-06,15.1
