epoch,train_loss,val_loss,lr,elapsed_s
139,1.7049,6.8832,3.02e-06,15.3
140,1.8338,7.9578,2.96e-06,15.4
141,1.7323,6.9907,2.90e-06,15.0
142,1.7724,6.9519,2.84e-06,14.8
143,1.6693,6.9303,2.78e-06,14.8
144,1.6265,6.8757,2.73e-06,15.1
145,1.7087,7.3707,2.67e-06,14.9
146,1.6910,6.9123,2.62e-06,15.2
147,1.7019,7.3478,2.57e-06,15.2
148,1.6767,7.0543,2.51e-06,15.1
149,1.6763,7.7739,2.46e-06,15.1
150,1.6653,6.9858,2.41e-06,15.1
