epoch,train_loss,val_loss,lr,elapsed_s
1,3.3179,2.0907,1.00e-03,31.8
2,1.9337,1.6111,1.00e-03,4.7
3,1.6164,1.5392,1.00e-03,4.8
4,1.4890,1.4733,1.00e-03,4.7
5,1.4416,1.4142,1.00e-03,4.7
6,1.4679,1.3700,1.00e-03,4.6
7,1.4624,1.3495,1.00e-03,4.6
8,1.3630,1.3007,1.00e-03,4.6
9,1.3120,1.2714,1.00e-03,4.6
10,1.2864,1.2529,1.00e-03,4.6
11,1.4468,1.4597,3.00e-04,6.6
12,1.1052,1.1106,3.00e-04,5.1
13,0.9617,1.0427,3.00e-04,5.1
14,0.8709,1.0125,3.00e-04,5.0
15,0.8127,0.9434,3.00e-04,5.1
16,0.7779,0.9654,3.00e-04,5.0
17,0.7148,0.8581,3.00e-04,5.0
18,0.6914,0.8043,3.00e-04,5.2
19,0.6495,0.8638,3.00e-04,5.1
20,0.6040,0.8141,3.00e-04,5.1
21,0.5832,0.8182,3.00e-04,5.1
22,0.5574,0.8212,3.00e-04,5.1
23,0.5507,0.8866,3.00e-04,5.1
24,0.5379,0.7959,3.00e-04,5.1
25,0.5104,0.7890,3.00e-04,5.2
26,0.5222,0.7910,3.00e-04,5.0
27,0.5248,0.8573,3.00e-04,5.1
28,0.4796,0.7639,3.00e-04,5.1
29,0.4810,0.8117,3.00e-04,5.1
30,0.4873,0.7230,3.00e-04,5.1
31,0.4920,0.7739,3.00e-04,5.1
32,0.4890,0.7648,3.00e-04,5.2
33,0.4606,0.7905,3.00e-04,5.2
34,0.4436,0.6448,3.00e-04,5.2
35,0.4589,0.6964,3.00e-04,5.2
36,0.4467,0.6846,3.00e-04,5.1
37,0.4434,0.6509,3.00e-04,5.2
38,0.4146,0.6695,3.00e-04,5.2
39,0.4156,0.6729,3.00e-04,5.1
40,0.4607,0.7504,1.50e-04,5.2
41,0.3706,0.6609,1.50e-04,5.2
42,0.3416,0.6149,1.50e-04,5.1
43,0.3342,0.6153,1.50e-04,5.1
44,0.3171,0.6335,1.50e-04,5.2
45,0.3485,0.6389,1.50e-04,5.2
46,0.3346,0.6402,1.50e-04,5.2
47,0.3740,0.6594,1.50e-04,5.2
48,0.4307,0.6730,7.50e-05,5.2
49,0.3272,0.6136,7.50e-05,5.2
50,0.3129,0.6014,7.50e-05,5.1
51,0.2816,0.6033,7.50e-05,5.1
52,0.2849,0.6084,7.50e-05,5.1
53,0.2664,0.6025,7.50e-05,5.1
54,0.2562,0.5877,7.50e-05,5.1
55,0.2565,0.6081,7.50e-05,5.1
56,0.2765,0.6223,7.50e-05,5.1
57,0.2708,0.6154,7.50e-05,5.1
58,0.2795,0.5938,7.50e-05,5.1
59,0.2658,0.6083,7.50e-05,5.1
60,0.2545,0.6017,3.75e-05,5.1
61,0.2464,0.5824,3.75e-05,5.1
62,0.2297,0.5959,3.75e-05,5.1
63,0.2289,0.5859,3.75e-05,5.0
64,0.2388,0.5906,3.75e-05,5.1
65,0.2505,0.5970,3.75e-05,5.0
66,0.2200,0.5875,3.75e-05,5.0
67,0.2318,0.6060,1.87e-05,5.1
68,0.2225,0.6017,1.87e-05,5.0
69,0.2201,0.5991,1.87e-05,4.9
70,0.2250,0.5937,1.87e-05,5.0
71,0.2301,0.5951,1.87e-05,5.0
72,0.2158,0.5920,1.87e-05,4.9
73,0.2174,0.6039,9.37e-06,5.0
74,0.2128,0.5999,9.37e-06,5.0
75,0.1988,0.5970,9.37e-06,5.0
76,0.2065,0.5935,9.37e-06,5.0
